name,class,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
GX 339-4,BH,60064.10134,HS,1.2240884715950795e+28,4.080294905316932e+27,1,2.3682427854392715e+34,5.0274036469220124e+33,6.472365006615239e+33,0
GX 339-4,BH,60085.98607,HS,2.5750127903282804e+28,6.246153043661051e+27,0,5.2684027983578335e+34,9.913635432227057e+33,1.2612118721314121e+34,0
GX 339-4,BH,60091.10425,HS,2.6041176344783325e+28,4.7763995970698573e+27,0,3.71574154497778e+34,6.569874142561018e+33,7.75708984491086e+33,0
GX 339-4,BH,60097.91253,HS,2.481570922267587e+28,7.33594920113154e+27,0,2.7521030483107345e+34,6.085259152596621e+33,7.663054695342997e+33,0
GX 339-4,BH,60106.92458,HS,1.8673055273112273e+28,5.336499137538917e+27,0,1.3921419342860784e+34,3.8963861313603855e+33,5.34212051462147e+33,0
GX 339-4,BH,60119.9712,HS,3.0284356255080362e+28,1.0253168883979831e+28,0,3.34095757192122e+34,6.253062729541356e+33,7.846358619770712e+33,0
GX 339-4,BH,60125.0417,HS,1.233892208571939e+28,4.11297402857313e+27,1,3.6850061637651983e+34,5.0339235292539785e+33,6.233127630860836e+33,0
GX 339-4,BH,60132.89256,HS,2.9947352796500822e+28,9.98245093216694e+27,1,4.881115438832875e+34,7.190187363472113e+33,8.79266261216588e+33,0
GX 339-4,BH,60141.70503,HS,2.1843951451565303e+28,7.281317150521768e+27,1,2.7427378670067353e+34,5.266703546560096e+33,6.74518424815206e+33,0
GX 339-4,BH,60146.70844,HS,1.2020300633971454e+28,4.0067668779904846e+27,1,2.668516632223582e+34,5.254890085787502e+33,6.403701844839724e+33,0
GX 339-4,BH,60153.7711,HS,1.3463288170252977e+28,4.487762723417659e+27,1,1.6313481824879152e+34,4.3391528339207456e+33,5.573876241698519e+33,0
GX 339-4,BH,60169.68212,HS,7.334420725813091e+27,2.4448069086043635e+27,1,1.701466366390454e+34,3.836179163626961e+33,4.7814370219524506e+33,0
GX 339-4,BH,60183.59858,HS,2.2027771519881426e+28,5.548424407826764e+27,0,3.417267392181815e+34,8.021671501424007e+33,1.0329619592603181e+34,0
GX 339-4,BH,60191.61259,HS,2.4218294000648486e+28,6.110652337637777e+27,0,7.550935417040841e+34,1.2162824010340216e+34,1.426866541401216e+34,0
GX 339-4,BH,60195.57771,HS,2.5765446242309142e+28,7.525169087797223e+27,0,5.105271103376927e+34,7.355833405662398e+33,8.394510315139195e+33,0
GX 339-4,BH,60210.60714,HS,5.65399893462325e+28,5.136983980257053e+27,0,1.4169511546699454e+35,2.1476359337911806e+34,2.5280087296756223e+34,0
